id,predicted
0,27
1,5
2,25
3,11
4,30
5,7
6,32
7,10
8,23
9,54
10,17
11,4
12,33
13,20
14,11
15,4
16,19
17,44
18,3
19,12
20,25
21,24
22,12
23,24
24,91
25,35
26,32
27,11
28,26
29,18
30,12
31,18
32,52
33,4
34,52
35,28
36,28
37,10
38,12
39,11
40,9
41,29
42,94
43,10
44,11
45,23
46,12
47,11
48,23
49,19
50,15
51,47
52,34
53,162
54,14
55,132
56,23
57,7
58,26
59,13
60,29
61,12
62,11
63,44
64,19
65,126
66,114
67,14
68,16
69,35
70,18
71,85
72,273
73,12
74,30
75,32
76,2
77,5
78,29
79,27
80,18
81,20
82,14
83,4
84,3
85,21
86,63
87,23
88,61
89,34
90,33
91,207
92,12
93,38
94,15
95,23
96,10
97,10
98,14
99,10
100,4
101,35
102,21
103,4
104,80
105,29
106,26
107,6
108,18
109,25
110,50
111,4
112,24
113,21
114,29
115,4
116,11
117,8
118,22
119,13
120,8
121,30
122,25
123,54
124,4
125,4
126,17
127,13
128,29
129,30
130,19
131,15
132,25
133,24
134,28
135,18
136,20
137,27
138,19
139,20
140,12
141,22
142,20
143,7
144,12
145,36
146,32
147,19
148,5
149,13
150,3
151,183
152,19
153,26
154,86
155,16
156,8
157,47
158,15
159,29
160,28
161,20
162,12
163,21
164,18
165,14
166,26
167,24
168,31
169,5
170,25
171,136
172,19
173,75
174,5
175,19
176,4
177,10
178,32
179,1
180,11
181,63
182,321
183,10
184,14
185,26
186,16
187,11
188,50
189,25
190,15
191,24
192,11
193,3
194,29
195,21
196,20
197,24
198,16
199,11
200,28
201,24
202,3
203,46
204,5
205,34
206,16
207,53
208,310
209,25
210,11
211,17
212,51
213,31
214,28
215,13
216,161
217,47
218,2
219,11
220,28
221,25
222,7
223,2
224,32
225,21
226,30
227,10
228,3
229,8
230,4
231,18
232,28
233,29
234,11
235,6
236,8
237,24
238,55
239,12
240,6
241,23
242,2
243,6
244,21
245,26
246,25
247,21
248,13
249,106
250,1
251,11
252,55
253,58
254,47
255,15
256,24
257,58
258,13
259,21
260,16
261,26
262,91
263,25
264,4
265,15
266,54
267,36
268,18
269,20
270,56
271,2
272,76
273,30
274,28
275,42
276,11
277,12
278,14
279,35
280,31
281,35
282,33
283,78
284,28
285,11
286,22
287,8
288,41
289,16
290,28
291,252
292,22
293,10
294,18
295,29
296,31
297,12
298,2
299,14
300,121
301,27
302,21
303,4
304,30
305,24
306,12
307,20
308,18
309,13
310,20
311,28
312,18
313,4
314,31
315,28
316,3
317,14
318,1
319,21
320,6
321,5
322,4
323,26
324,45
325,15
326,14
327,28
328,24
329,53
330,29
331,16
332,30
333,5
334,11
335,25
336,12
337,34
338,5
339,15
340,107
341,14
342,30
343,31
344,3
345,12
346,18
347,15
348,16
349,15
350,19
351,22
352,94
353,36
354,32
355,4
356,12
357,2
358,16
359,4
360,15
361,329
362,10
363,16
364,19
365,15
366,30
367,29
368,56
369,115
370,3
371,40
372,24
373,165
374,20
375,12
376,11
377,13
378,13
379,18
380,131
381,17
382,22
383,16
384,30
385,17
386,135
387,48
388,14
389,3
390,5
391,15
392,21
393,15
394,5
395,44
396,114
397,13
398,58
399,40
400,27
401,6
402,30
403,22
404,13
405,14
406,12
407,31
408,4
409,35
410,10
411,10
412,32
413,15
414,55
415,11
416,8
417,8
418,12
419,27
420,67
421,17
422,44
423,25
424,47
425,46
426,16
427,32
428,10
429,18
430,49
431,5
432,26
433,10
434,155
435,12
436,21
437,74
438,12
439,14
440,10
441,18
442,157
443,38
444,25
445,56
446,75
447,1
448,8
449,3
450,9
451,15
452,15
453,29
454,238
455,17
456,4
457,11
458,8
459,15
460,11
461,15
462,58
463,15
464,32
465,17
466,22
467,14
468,4
469,33
470,20
471,21
472,30
473,11
474,6
475,14
476,6
477,31
478,71
479,20
480,13
481,13
482,3
483,33
484,23
485,39
486,15
487,13
488,14
489,19
490,17
491,5
492,5
493,11
494,10
495,33
496,33
497,37
498,88
499,48
500,8
501,2
502,5
503,1
504,31
505,15
506,21
507,11
508,18
509,11
510,11
511,235
512,15
513,5
514,1
515,3
516,6
517,38
518,4
519,40
520,97
521,12
522,17
523,5
524,30
525,85
526,9
527,14
528,22
529,14
530,19
531,25
532,33
533,15
534,4
535,17
536,28
537,20
538,58
539,14
540,28
541,40
542,125
543,23
544,7
545,62
546,54
547,23
548,10
549,15
550,26
551,4
552,12
553,12
554,18
555,20
556,59
557,30
558,16
559,6
560,29
561,30
562,18
563,33
564,72
565,24
566,25
567,1
568,18
569,45
570,4
571,14
572,12
573,19
574,23
575,20
576,34
577,414
578,359
579,33
580,10
581,28
582,8
583,57
584,30
585,137
586,10
587,5
588,24
589,11
590,19
591,20
592,24
593,160
594,8
595,13
596,33
597,21
598,22
599,24
600,13
601,10
602,15
603,11
604,13
605,26
606,28
607,5
608,10
609,15
610,25
611,4
612,4
613,58
614,13
615,17
616,65
617,13
618,5
619,24
620,40
621,3
622,27
623,22
624,4
625,87
626,61
627,3
628,14
629,3
630,16
631,24
632,14
633,33
634,18
635,12
636,5
637,60
638,27
639,12
640,33
641,10
642,10
643,10
644,46
645,5
646,189
647,18
648,11
649,21
650,9
651,21
652,5
653,90
654,26
655,43
656,16
657,45
658,9
659,12
660,11
661,21
662,13
663,10
664,13
665,15
666,21
667,4
668,42
669,18
670,22
671,26
672,26
673,13
674,22
675,28
676,11
677,25
678,6
679,19
680,16
681,95
682,24
683,12
684,16
685,40
686,58
687,14
688,17
689,11
690,11
691,20
692,31
693,5
694,25
695,20
696,31
697,13
698,15
699,13
700,1
701,2
702,5
703,8
704,17
705,26
706,49
707,97
708,15
709,11
710,15
711,24
712,51
713,2
714,22
715,11
716,26
717,3
718,52
719,70
720,99
721,29
722,24
723,19
724,2
725,17
726,10
727,26
728,14
729,21
730,35
731,16
732,15
733,19
734,2
735,425
736,368
737,14
738,14
739,5
740,28
741,31
742,12
743,10
744,34
745,230
746,20
747,177
748,12
749,21
750,94
751,13
752,57
753,20
754,39
755,10
756,14
757,39
758,18
759,59
760,9
761,82
762,51
763,55
764,33
765,11
766,20
767,55
768,29
769,13
770,16
771,30
772,26
773,29
774,367
775,12
776,14
777,6
778,12
779,14
780,21
781,6
782,11
783,28
784,29
785,26
786,15
787,11
788,11
789,28
790,2
791,30
792,12
793,62
794,27
795,31
796,25
797,71
798,44
799,27
800,43
801,16
