id,predicted
0,27
1,4
2,26
3,12
4,31
5,7
6,33
7,11
8,23
9,54
10,18
11,5
12,33
13,21
14,12
15,5
16,19
17,45
18,4
19,13
20,26
21,24
22,13
23,25
24,96
25,35
26,33
27,12
28,26
29,18
30,13
31,10
32,52
33,6
34,52
35,29
36,28
37,11
38,13
39,12
40,7
41,29
42,93
43,11
44,11
45,24
46,12
47,12
48,23
49,20
50,14
51,48
52,35
53,67
54,14
55,131
56,23
57,4
58,26
59,13
60,29
61,13
62,11
63,43
64,19
65,29
66,111
67,15
68,7
69,35
70,19
71,89
72,288
73,12
74,30
75,32
76,4
77,5
78,30
79,27
80,19
81,21
82,10
83,4
84,4
85,21
86,63
87,24
88,63
89,34
90,33
91,198
92,12
93,38
94,15
95,24
96,11
97,8
98,15
99,5
100,5
101,36
102,21
103,4
104,78
105,28
106,27
107,4
108,18
109,26
110,50
111,5
112,25
113,22
114,29
115,4
116,12
117,8
118,22
119,9
120,7
121,31
122,25
123,54
124,5
125,5
126,9
127,10
128,29
129,29
130,20
131,15
132,26
133,25
134,28
135,9
136,20
137,28
138,20
139,21
140,13
141,23
142,21
143,4
144,13
145,37
146,32
147,9
148,6
149,13
150,3
151,97
152,10
153,26
154,44
155,16
156,8
157,47
158,15
159,30
160,14
161,21
162,13
163,22
164,19
165,15
166,27
167,25
168,31
169,4
170,26
171,129
172,19
173,74
174,7
175,7
176,5
177,5
178,33
179,3
180,11
181,63
182,163
183,11
184,15
185,27
186,17
187,11
188,50
189,26
190,16
191,10
192,11
193,5
194,30
195,21
196,20
197,25
198,16
199,12
200,28
201,25
202,4
203,45
204,4
205,34
206,10
207,53
208,169
209,12
210,12
211,17
212,51
213,32
214,28
215,13
216,161
217,45
218,4
219,11
220,28
221,25
222,7
223,4
224,32
225,22
226,30
227,11
228,4
229,5
230,4
231,19
232,28
233,30
234,12
235,9
236,9
237,25
238,52
239,8
240,10
241,23
242,3
243,8
244,22
245,26
246,7
247,21
248,7
249,62
250,4
251,8
252,55
253,57
254,48
255,12
256,23
257,56
258,13
259,21
260,16
261,27
262,87
263,26
264,4
265,15
266,54
267,36
268,11
269,21
270,56
271,3
272,75
273,31
274,29
275,41
276,13
277,7
278,15
279,35
280,31
281,35
282,34
283,77
284,28
285,8
286,7
287,8
288,41
289,17
290,29
291,164
292,22
293,7
294,20
295,14
296,31
297,8
298,3
299,15
300,117
301,28
302,21
303,3
304,30
305,24
306,12
307,20
308,18
309,14
310,21
311,29
312,19
313,5
314,11
315,29
316,5
317,15
318,3
319,22
320,5
321,5
322,4
323,9
324,46
325,10
326,14
327,29
328,25
329,53
330,29
331,16
332,31
333,6
334,12
335,26
336,13
337,35
338,5
339,16
340,109
341,15
342,30
343,32
344,4
345,7
346,18
347,16
348,5
349,15
350,19
351,7
352,56
353,36
354,33
355,4
356,13
357,5
358,17
359,5
360,16
361,221
362,11
363,17
364,9
365,16
366,30
367,10
368,56
369,128
370,4
371,41
372,24
373,94
374,21
375,13
376,11
377,14
378,14
379,19
380,133
381,18
382,23
383,17
384,31
385,18
386,135
387,49
388,14
389,4
390,5
391,15
392,22
393,16
394,6
395,47
396,117
397,14
398,59
399,40
400,28
401,5
402,31
403,22
404,14
405,15
406,13
407,31
408,4
409,35
410,10
411,11
412,11
413,15
414,55
415,12
416,4
417,7
418,12
419,28
420,67
421,17
422,44
423,9
424,46
425,45
426,16
427,34
428,12
429,6
430,49
431,5
432,27
433,10
434,149
435,13
436,22
437,77
438,13
439,8
440,11
441,18
442,88
443,38
444,26
445,56
446,50
447,4
448,8
449,4
450,8
451,17
452,16
453,30
454,98
455,18
456,6
457,12
458,8
459,15
460,11
461,15
462,60
463,15
464,32
465,17
466,22
467,14
468,4
469,34
470,21
471,22
472,13
473,12
474,4
475,14
476,4
477,32
478,78
479,20
480,10
481,14
482,4
483,33
484,23
485,40
486,16
487,14
488,15
489,19
490,18
491,4
492,5
493,10
494,11
495,34
496,33
497,37
498,44
499,41
500,4
501,5
502,4
503,4
504,32
505,9
506,22
507,12
508,19
509,12
510,12
511,226
512,6
513,4
514,4
515,4
516,4
517,38
518,3
519,40
520,102
521,13
522,17
523,5
524,30
525,85
526,9
527,10
528,23
529,7
530,20
531,25
532,34
533,16
534,6
535,18
536,29
537,20
538,58
539,15
540,29
541,39
542,128
543,23
544,5
545,62
546,55
547,24
548,9
549,16
550,27
551,4
552,13
553,12
554,19
555,21
556,62
557,31
558,17
559,5
560,30
561,30
562,18
563,12
564,50
565,6
566,26
567,4
568,19
569,45
570,4
571,15
572,13
573,20
574,23
575,21
576,34
577,177
578,216
579,34
580,10
581,29
582,9
583,59
584,30
585,86
586,11
587,4
588,25
589,11
590,20
591,20
592,24
593,46
594,4
595,14
596,33
597,21
598,23
599,24
600,14
601,11
602,16
603,12
604,14
605,26
606,29
607,5
608,11
609,15
610,11
611,4
612,5
613,57
614,14
615,17
616,64
617,7
618,7
619,24
620,43
621,6
622,28
623,22
624,5
625,52
626,59
627,4
628,8
629,5
630,16
631,11
632,15
633,34
634,19
635,12
636,4
637,60
638,28
639,13
640,34
641,8
642,11
643,11
644,46
645,4
646,180
647,19
648,11
649,22
650,9
651,21
652,5
653,60
654,26
655,43
656,17
657,45
658,8
659,9
660,8
661,21
662,12
663,10
664,14
665,16
666,22
667,4
668,41
669,19
670,23
671,11
672,26
673,13
674,23
675,29
676,12
677,26
678,7
679,19
680,18
681,49
682,8
683,13
684,16
685,41
686,57
687,15
688,18
689,12
690,11
691,20
692,32
693,5
694,26
695,21
696,32
697,14
698,16
699,14
700,5
701,4
702,4
703,8
704,17
705,27
706,47
707,103
708,15
709,12
710,15
711,25
712,52
713,5
714,23
715,12
716,27
717,5
718,52
719,70
720,99
721,29
722,25
723,20
724,4
725,17
726,11
727,26
728,14
729,22
730,35
731,8
732,16
733,7
734,3
735,160
736,363
737,15
738,14
739,4
740,29
741,30
742,13
743,11
744,36
745,217
746,20
747,105
748,13
749,22
750,89
751,8
752,56
753,21
754,39
755,11
756,14
757,40
758,18
759,63
760,8
761,86
762,52
763,55
764,33
765,11
766,21
767,54
768,30
769,13
770,16
771,31
772,27
773,29
774,383
775,10
776,10
777,6
778,13
779,16
780,22
781,4
782,12
783,28
784,29
785,26
786,15
787,7
788,12
789,29
790,5
791,30
792,10
793,67
794,28
795,32
796,26
797,77
798,44
799,27
800,43
801,16
802,5
803,35
804,26
805,13
806,20
807,27
808,30
809,31
810,24
811,15
812,42
813,28
814,13
815,12
816,7
817,55
818,36
819,90
820,32
821,13
822,11
823,5
824,28
825,6
826,20
827,10
828,17
829,6
830,39
831,43
832,63
833,4
834,4
835,49
836,17
837,9
838,11
839,19
840,154
841,14
842,14
843,237
844,33
845,51
846,41
847,28
848,31
849,61
850,33
851,44
852,27
853,8
854,4
855,30
856,22
857,13
858,4
859,15
860,4
861,38
862,23
863,11
864,17
865,12
866,20
867,14
868,32
869,32
870,26
871,5
872,20
873,12
874,14
875,5
876,22
877,27
878,27
879,9
880,30
881,30
882,24
883,25
884,20
885,52
886,14
887,32
888,20
889,28
890,48
891,7
892,63
893,34
894,17
895,27
896,4
897,8
898,9
899,9
900,20
901,110
902,11
903,12
904,12
905,20
906,20
907,10
908,15
909,5
910,8
911,4
912,11
913,27
914,17
915,10
916,3
917,6
918,17
919,15
920,11
921,42
922,8
923,14
924,10
925,13
926,15
927,95
928,10
929,56
930,30
931,20
932,7
933,24
934,4
935,12
936,19
937,16
938,14
939,18
940,51
941,5
942,21
943,44
944,25
945,37
946,4
947,12
948,12
949,12
950,26
951,42
952,28
953,28
954,4
955,11
956,76
957,40
958,19
959,11
960,17
961,56
962,5
963,12
964,5
965,6
966,11
967,16
968,28
969,13
970,6
971,18
972,21
973,12
974,17
975,4
976,15
977,20
978,22
979,4
980,12
981,10
982,11
983,23
984,83
985,26
986,69
987,15
988,26
989,5
990,34
991,23
992,27
993,22
994,88
995,5
996,4
997,20
998,15
999,122
1000,30
1001,16
1002,28
1003,4
1004,9
1005,31
1006,4
1007,34
1008,20
1009,11
1010,51
1011,33
1012,8
1013,7
1014,12
1015,11
1016,12
1017,13
1018,4
1019,9
1020,47
1021,16
1022,13
1023,8
1024,35
1025,14
1026,56
1027,20
1028,11
1029,9
1030,126
1031,10
1032,40
1033,31
1034,10
1035,4
1036,58
1037,9
1038,37
1039,23
1040,33
1041,16
1042,27
1043,10
1044,63
1045,15
1046,17
1047,12
1048,35
1049,47
1050,35
1051,34
1052,5
1053,34
1054,14
1055,11
1056,20
1057,28
1058,7
1059,19
1060,4
1061,19
1062,22
1063,36
1064,31
1065,10
1066,75
1067,11
1068,15
1069,32
1070,32
1071,34
1072,33
1073,10
1074,53
1075,5
1076,45
1077,20
1078,3
1079,15
1080,13
1081,22
1082,13
1083,28
1084,23
1085,64
1086,35
1087,70
1088,20
1089,19
1090,26
1091,14
1092,5
1093,45
1094,29
1095,7
1096,24
1097,12
1098,12
1099,22
1100,25
1101,185
1102,10
1103,23
1104,52
1105,5
1106,32
1107,8
1108,8
1109,15
1110,6
1111,14
1112,36
1113,6
1114,4
1115,4
1116,23
1117,21
1118,17
1119,31
1120,10
1121,14
1122,26
1123,3
1124,27
1125,5
1126,4
1127,27
1128,45
1129,6
1130,26
1131,10
1132,33
