,0
0,29
1,7
2,27
3,9
4,32
5,25
6,41
7,14
8,22
9,59
10,18
11,4
12,39
13,20
14,13
15,9
16,21
17,44
18,6
19,14
20,28
21,25
22,13
23,23
24,166
25,43
26,38
27,9
28,23
29,16
30,12
31,8
32,54
33,3
34,50
35,29
36,38
37,9
38,12
39,26
40,6
41,33
42,152
43,13
44,11
45,23
46,33
47,13
48,30
49,19
50,43
51,46
52,32
53,268
54,15
55,179
56,28
57,7
58,25
59,12
60,29
61,16
62,28
63,85
64,17
65,233
66,180
67,13
68,16
69,70
70,23
71,174
72,399
73,11
74,31
75,35
76,7
77,10
78,26
79,26
80,17
81,20
82,14
83,6
84,3
85,22
86,67
87,46
88,101
89,33
90,35
91,318
92,11
93,38
94,34
95,30
96,11
97,9
98,13
99,4
100,4
101,33
102,23
103,8
104,144
105,38
106,26
107,8
108,22
109,25
110,47
111,3
112,30
113,19
114,41
115,11
116,12
117,7
118,21
119,10
120,25
121,32
122,25
123,60
124,4
125,4
126,37
127,15
128,28
129,42
130,20
131,16
132,22
133,38
134,29
135,7
136,20
137,24
138,21
139,22
140,12
141,25
142,22
143,7
144,12
145,33
146,32
147,7
148,4
149,37
150,5
151,288
152,14
153,24
154,136
155,12
156,8
157,50
158,18
159,29
160,31
161,21
162,14
163,42
164,18
165,24
166,31
167,25
168,41
169,7
170,99
171,193
172,27
173,127
174,5
175,22
176,4
177,10
178,43
179,6
180,13
181,67
182,478
183,10
184,15
185,34
186,17
187,13
188,58
189,25
190,24
191,27
192,11
193,5
194,32
195,27
196,18
197,28
198,14
199,9
200,27
201,28
202,8
203,79
204,7
205,39
206,11
207,52
208,467
209,33
210,15
211,20
212,55
213,36
214,27
215,13
216,227
217,69
218,6
219,14
220,35
221,25
222,27
223,2
224,29
225,25
226,30
227,13
228,6
229,11
230,8
231,18
232,30
233,27
234,12
235,8
236,10
237,25
238,54
239,25
240,11
241,24
242,2
243,7
244,26
245,27
246,28
247,21
248,5
249,157
250,3
251,11
