id,predicted
0,27
1,4
2,25
3,8
4,30
5,7
6,33
7,11
8,21
9,54
10,17
11,3
12,33
13,18
14,12
15,5
16,19
17,43
18,4
19,13
20,26
21,24
22,11
23,21
24,96
25,35
26,33
27,8
28,22
29,15
30,11
31,7
32,52
33,2
34,48
35,28
36,28
37,7
38,11
39,12
40,5
41,29
42,93
43,11
44,10
45,21
46,12
47,11
48,23
49,18
50,14
51,44
52,31
53,67
54,14
55,131
56,23
57,4
58,23
59,11
60,28
61,13
62,11
63,43
64,16
65,29
66,111
67,12
68,7
69,35
70,19
71,89
72,288
73,11
74,29
75,32
76,4
77,5
78,25
79,24
80,16
81,18
82,10
83,4
84,3
85,21
86,63
87,24
88,63
89,31
90,33
91,198
92,10
93,36
94,15
95,24
96,10
97,8
98,11
99,3
100,3
101,31
102,21
103,4
104,78
105,28
106,24
107,4
108,18
109,23
110,46
111,2
112,25
113,18
114,29
115,4
116,10
117,6
118,20
119,9
120,7
121,30
122,23
123,54
124,3
125,3
126,9
127,10
128,26
129,29
130,19
131,15
132,21
133,25
134,28
135,6
136,19
137,23
138,19
139,20
140,10
141,23
142,20
143,4
144,11
145,32
146,30
147,6
148,3
149,13
150,3
151,97
152,10
153,23
154,44
155,12
156,6
157,47
158,15
159,27
160,14
161,20
162,12
163,22
164,17
165,15
166,27
167,23
168,31
169,4
170,26
171,129
172,19
173,74
174,3
175,7
176,3
177,5
178,33
179,3
180,11
181,63
182,163
183,9
184,14
185,27
186,16
187,11
188,50
189,24
190,16
191,10
192,10
193,4
194,30
195,21
196,17
197,25
198,13
199,8
200,25
201,25
202,4
203,45
204,4
205,34
206,10
207,50
208,169
209,12
210,12
211,17
212,51
213,32
214,26
215,12
216,161
217,45
218,4
219,11
220,28
221,23
222,7
223,1
224,28
225,22
226,29
227,11
228,4
229,5
230,4
231,17
232,27
233,26
234,11
235,7
236,9
237,24
238,51
239,8
240,10
241,22
242,1
243,6
244,22
245,25
246,7
247,19
248,4
249,62
250,2
251,8
252,55
253,57
254,48
255,12
256,23
257,56
258,13
259,21
260,14
261,23
262,87
263,26
264,4
265,15
266,49
267,34
268,7
269,15
270,56
271,3
272,75
273,31
274,27
275,41
276,13
277,7
278,12
279,35
280,31
281,34
282,34
283,77
284,26
285,5
286,7
287,6
288,41
289,17
290,28
291,164
292,21
293,7
294,20
295,14
296,28
297,8
298,3
299,15
300,117
301,24
302,21
303,3
304,30
305,20
306,12
307,19
308,18
309,14
310,21
311,27
312,19
313,5
314,11
315,27
316,3
317,15
318,3
319,17
320,5
321,2
322,4
323,9
324,42
325,5
326,14
327,26
328,25
329,53
330,27
331,16
332,31
333,4
334,12
335,22
336,13
337,32
338,2
339,11
340,109
341,12
342,30
343,32
344,4
345,4
346,16
347,15
348,5
349,15
350,17
351,7
352,56
353,36
354,33
355,4
356,8
357,2
358,14
359,3
360,16
361,221
362,11
363,14
364,7
365,15
366,26
367,10
368,56
369,128
370,4
371,40
372,22
373,94
374,21
375,13
376,11
377,12
378,13
379,16
380,133
381,17
382,20
383,16
384,28
385,15
386,135
387,48
388,14
389,4
390,5
391,15
392,20
393,14
394,4
395,47
396,117
397,13
398,59
399,40
400,25
401,5
402,31
403,22
404,12
405,14
406,13
407,31
408,4
409,35
410,10
411,9
412,11
413,14
414,53
415,12
416,4
417,7
418,12
419,27
420,60
421,14
422,44
423,9
424,46
425,45
426,16
427,32
428,8
429,6
430,49
431,3
432,27
433,10
434,149
435,10
436,22
437,77
438,13
439,5
440,10
441,17
442,88
443,38
444,26
445,56
446,50
447,2
448,8
449,2
450,5
451,13
452,14
453,29
454,98
455,16
456,4
457,12
458,8
459,15
460,9
461,13
462,60
463,15
464,29
465,17
466,22
467,14
468,4
469,33
470,18
471,18
472,13
473,12
474,4
475,12
476,4
477,31
478,78
479,20
480,5
481,12
482,4
483,29
484,21
485,40
486,11
487,12
488,10
489,15
490,18
491,4
492,3
493,10
494,11
495,34
496,30
497,37
498,44
499,41
500,4
501,3
502,4
503,2
504,32
505,9
506,22
507,10
508,18
509,10
510,12
511,226
512,6
513,4
514,2
515,4
516,4
517,38
518,3
519,39
520,102
521,11
522,17
523,5
524,29
525,85
526,6
527,10
528,20
529,4
530,18
531,25
532,30
533,16
534,4
535,17
536,24
537,20
538,58
539,13
540,28
541,37
542,128
543,22
544,5
545,62
546,55
547,23
548,9
549,14
550,24
551,4
552,13
553,10
554,18
555,19
556,62
557,27
558,17
559,5
560,28
561,30
562,18
563,12
564,50
565,6
566,25
567,2
568,15
569,44
570,4
571,15
572,12
573,14
574,22
575,21
576,34
577,177
578,216
579,34
580,10
581,24
582,9
583,59
584,30
585,86
586,11
587,4
588,25
589,11
590,20
591,18
592,24
593,46
594,4
595,14
596,30
597,19
598,22
599,22
600,11
601,10
602,16
603,12
604,14
605,26
606,29
607,2
608,9
609,15
610,11
611,4
612,3
613,57
614,12
615,17
616,64
617,7
618,4
619,24
620,43
621,3
622,23
623,22
624,3
625,52
626,59
627,4
628,4
629,3
630,16
631,11
632,12
633,30
634,16
635,12
636,4
637,60
638,26
639,13
640,34
641,6
642,8
643,9
644,43
645,4
646,180
647,19
648,10
649,22
650,9
651,19
652,5
653,60
654,26
655,43
656,14
657,45
658,5
659,9
660,5
661,21
662,12
663,10
664,14
665,16
666,21
667,4
668,41
669,18
670,21
671,11
672,25
673,13
674,23
675,28
676,11
677,26
678,6
679,16
680,12
681,49
682,8
683,13
684,16
685,40
686,57
687,13
688,16
689,6
690,11
691,20
692,32
693,5
694,24
695,18
696,30
697,14
698,14
699,11
700,3
701,1
702,4
703,8
704,17
705,25
706,47
707,103
708,15
709,11
710,15
711,25
712,52
713,3
714,23
715,11
716,27
717,3
718,52
719,70
720,99
721,28
722,25
723,20
724,4
725,17
726,11
727,24
728,14
729,21
730,32
731,5
732,16
733,7
734,3
735,160
736,363
737,12
738,14
739,4
740,29
741,30
742,10
743,11
744,36
745,217
746,20
747,105
748,13
749,20
750,89
751,8
752,56
753,18
754,39
755,11
756,14
757,40
758,17
759,63
760,6
761,86
762,52
763,54
764,32
765,11
766,19
767,54
768,25
769,12
770,13
771,31
772,22
773,29
774,383
775,9
776,10
777,3
778,10
779,13
780,20
781,4
782,11
783,21
784,29
785,26
786,15
787,7
788,12
789,25
790,3
791,27
792,10
793,67
794,28
795,32
796,22
797,77
798,41
799,26
800,43
801,13
802,3
803,35
804,23
805,12
806,20
807,27
808,30
809,31
810,23
811,13
812,42
813,23
814,13
815,9
816,7
817,55
818,36
819,90
820,30
821,13
822,11
823,5
824,28
825,5
826,19
827,7
828,16
829,6
830,39
831,39
832,63
833,4
834,4
835,49
836,16
837,9
838,8
839,17
840,154
841,13
842,14
843,237
844,31
845,51
846,41
847,27
848,31
849,61
850,29
851,44
852,26
853,7
854,4
855,28
856,22
857,11
858,4
859,15
860,4
861,38
862,23
863,11
864,15
865,9
866,20
867,14
868,32
869,31
870,25
871,3
872,20
873,12
874,14
875,2
876,22
877,24
878,26
879,9
880,29
881,27
882,22
883,25
884,18
885,49
886,14
887,32
888,18
889,25
890,40
891,7
892,63
893,34
894,16
895,27
896,2
897,8
898,6
899,9
900,19
901,110
902,11
903,10
904,9
905,19
906,20
907,10
908,15
909,2
910,8
911,1
912,11
913,25
914,17
915,10
916,3
917,4
918,16
919,10
920,7
921,42
922,8
923,14
924,10
925,13
926,13
927,95
928,9
929,56
930,29
931,20
932,7
933,24
934,4
935,10
936,19
937,14
938,11
939,18
940,51
941,5
942,17
943,44
944,24
945,37
946,4
947,12
948,12
949,10
950,25
951,42
952,28
953,27
954,4
955,9
956,76
957,40
958,14
959,9
960,15
961,56
962,3
963,12
964,2
965,3
966,10
967,16
968,28
969,12
970,3
971,18
972,21
973,12
974,13
975,4
976,14
977,16
978,20
979,4
980,12
981,7
982,10
983,19
984,83
985,23
986,69
987,15
988,26
989,5
990,34
991,21
992,27
993,19
994,88
995,2
996,4
997,16
998,15
999,122
1000,30
1001,11
1002,28
1003,4
1004,5
1005,29
1006,4
1007,34
1008,20
1009,11
1010,49
1011,33
1012,8
1013,7
1014,11
1015,11
1016,11
1017,13
1018,4
1019,8
1020,46
1021,13
1022,12
1023,8
1024,35
1025,14
1026,56
1027,18
1028,11
1029,9
1030,123
1031,10
1032,40
1033,31
1034,10
1035,4
1036,58
1037,9
1038,34
1039,22
1040,31
1041,12
1042,27
1043,10
1044,63
1045,15
1046,11
1047,10
1048,31
1049,47
1050,32
1051,34
1052,5
1053,34
1054,14
1055,9
1056,17
1057,26
1058,6
1059,18
1060,4
1061,19
1062,22
1063,36
1064,31
1065,6
1066,75
1067,11
1068,14
1069,32
1070,30
1071,30
1072,31
1073,9
1074,53
1075,5
1076,45
1077,13
1078,3
1079,15
1080,11
1081,19
1082,13
1083,28
1084,23
1085,64
1086,34
1087,70
1088,18
1089,16
1090,24
1091,9
1092,5
1093,45
1094,27
1095,7
1096,24
1097,11
1098,9
1099,19
1100,24
1101,185
1102,8
1103,21
1104,52
1105,3
1106,32
1107,7
1108,8
1109,14
1110,6
1111,14
1112,36
1113,6
1114,4
1115,4
1116,23
1117,21
1118,17
1119,29
1120,10
1121,13
1122,23
1123,3
1124,24
1125,5
1126,4
1127,21
1128,45
1129,3
1130,23
1131,10
1132,29
