id,predicted
0,35
1,7
2,74
3,37
4,15
5,4
6,104
7,24
8,3
9,1
10,40
11,23
12,45
13,1
14,24
15,54
16,15
17,107
18,16
19,64
20,3
21,96
22,20
23,12
24,5
25,24
26,66
27,11
28,4
29,35
30,32
31,4
32,36
33,4
34,12
35,30
36,34
37,10
38,47
39,35
40,15
41,16
42,10
43,2
44,38
45,6
46,31
47,3
48,5
49,49
50,45
51,96
52,2
53,85
54,5
55,11
56,20
57,164
58,73
59,2
60,3
61,9
62,36
63,43
64,640
65,109
66,41
67,68
68,32
69,134
70,60
71,3
72,17
73,7
74,8
75,22
76,21
77,31
78,3
79,27
80,9
81,18
82,28
83,34
84,25
85,36
86,37
87,4
88,20
89,19
90,52
91,6
92,70
93,3
94,73
95,7
96,4
97,46
98,10
99,27
100,100
101,158
102,21
103,39
104,15
105,80
106,1
107,37
108,96
109,43
110,106
111,34
112,74
113,6
114,14
115,3
116,38
117,21
118,31
119,21
120,53
121,103
122,28
123,17
124,39
125,24
126,19
127,2
128,47
129,2
130,18
131,12
132,110
133,-1
134,34
135,4
136,3
137,39
138,23
139,21
140,5
141,6
142,28
143,31
144,33
145,43
146,77
147,35
148,33
149,5
150,6
151,21
152,89
153,4
154,45
155,13
156,2
157,24
158,35
159,16
160,38
161,4
162,24
163,6
164,123
165,10
166,19
167,24
168,50
169,18
170,146
171,13
172,48
173,3
174,14
175,52
176,66
177,24
178,21
179,13
180,10
181,109
182,117
183,62
184,16
185,63
186,53
187,51
188,20
189,3
190,38
191,9
192,4
193,12
194,24
195,75
196,237
197,32
198,4
199,19
200,8
201,3
202,71
203,72
204,94
205,13
206,41
207,8
208,9
209,19
210,23
211,5
212,50
213,22
214,4
215,19
216,5
217,6
218,26
219,153
220,23
221,24
222,33
223,36
224,14
225,75
226,54
227,40
228,22
229,4
230,21
231,24
232,25
233,145
234,37
235,37
236,87
237,36
238,73
239,79
240,27
241,167
242,17
243,55
244,1
245,6
246,13
247,3
248,4
249,228
250,19
251,18
252,37
253,4
254,149
255,22
256,43
257,2
258,31
259,4
260,13
261,43
262,25
263,18
264,21
265,5
266,168
267,30
268,26
269,4
270,196
271,19
272,43
273,4
274,10
275,13
276,39
277,24
278,53
279,112
280,35
281,32
282,7
283,2
284,9
285,24
286,34
287,16
288,32
289,9
290,3
291,53
292,10
293,40
294,47
295,44
296,126
297,75
298,6
299,46
300,4
301,23
302,19
303,2
304,28
305,41
306,13
307,95
308,90
309,6
310,42
311,68
312,19
313,37
314,5
315,4
316,41
317,5
318,13
319,34
320,5
321,33
322,148
323,28
324,17
325,36
326,19
327,4
328,25
329,21
330,36
331,97
332,57
333,15
334,4
335,18
336,23
337,12
338,34
339,2
340,8
341,8
342,112
343,79
344,47
345,20
346,51
347,124
348,65
349,9
350,3
351,25
352,3
353,3
354,17
355,13
356,15
357,12
358,83
359,83
360,4
361,5
362,18
363,88
364,55
365,17
366,43
367,22
368,16
369,20
370,3
371,148
372,13
373,14
374,3
375,75
376,44
377,43
378,4
379,22
380,65
381,48
382,24
383,15
384,40
385,17
386,5
387,26
388,29
389,27
390,131
391,52
392,15
393,38
394,125
395,12
396,37
397,114
398,0
399,6
400,14
401,4
402,3
403,25
404,46
405,5
406,108
407,48
408,2
409,30
410,24
411,34
412,3
413,41
414,28
415,16
416,7
417,77
418,4
419,32
420,5
421,4
422,13
423,122
424,45
425,10
426,17
427,27
428,15
429,29
430,3
431,34
432,12
433,33
434,2
435,113
436,22
437,48
438,39
439,28
440,9
441,41
442,10
443,57
444,11
445,28
446,24
447,6
448,17
449,46
450,3
451,121
452,4
453,4
454,30
455,24
456,4
457,10
458,7
459,23
460,27
461,5
462,4
463,38
464,18
465,110
466,69
467,46
468,12
469,3
470,27
471,11
472,28
473,9
474,33
475,53
476,10
477,6
478,39
479,35
480,28
481,28
482,75
483,4
484,33
485,10
486,49
487,37
488,34
489,72
490,20
491,11
492,33
493,14
494,24
495,3
496,36
497,20
498,78
499,16
500,92
501,29
502,17
503,3
504,1
505,28
506,40
507,9
508,7
509,102
510,66
511,8
512,102
513,8
514,18
515,13
516,122
517,5
518,16
519,76
520,125
521,89
522,42
523,21
524,38
525,4
526,5
527,12
528,15
529,37
530,17
531,43
532,117
533,61
534,157
535,6
536,18
537,120
538,40
539,52
540,221
541,4
542,21
543,19
544,4
545,102
546,22
547,53
548,9
549,45
550,51
551,76
552,50
553,24
554,57
555,42
556,33
557,36
558,22
559,20
560,9
561,34
562,18
563,50
564,27
565,50
566,4
567,79
568,11
569,22
570,25
571,30
572,6
573,3
574,326
575,71
576,40
577,3
578,20
579,29
580,11
581,7
582,3
583,29
584,13
585,19
586,44
587,10
588,49
589,2
590,16
591,48
592,74
593,48
594,18
595,27
596,6
597,124
598,39
599,16
600,44
601,36
602,113
603,6
604,10
605,2
606,12
607,6
608,10
609,44
610,39
611,82
612,5
613,23
614,11
