id,predicted
0,33
1,12
2,39
3,25
4,17
5,8
6,72
7,17
8,8
9,3
10,31
11,15
12,26
13,11
14,24
15,31
16,20
17,19
18,15
19,47
20,8
21,48
22,23
23,22
24,9
25,27
26,29
27,18
28,7
29,31
30,27
31,8
32,21
33,7
34,18
35,22
36,26
37,13
38,41
39,23
40,12
41,20
42,12
43,5
44,27
45,6
46,29
47,7
48,9
49,36
50,38
51,41
52,5
53,39
54,6
55,12
56,25
57,59
58,39
59,7
60,5
61,13
62,25
63,29
64,210
65,53
66,34
67,42
68,29
69,61
70,33
71,7
72,23
73,15
74,13
75,13
76,25
77,30
78,6
79,15
80,13
81,10
82,27
83,32
84,27
85,34
86,39
87,7
88,18
89,21
90,24
91,10
92,22
93,6
94,37
95,14
96,9
97,31
98,19
99,31
100,56
101,75
102,12
103,20
104,18
105,31
106,5
107,25
108,48
109,29
110,54
111,34
112,45
113,6
114,14
115,11
116,34
117,27
118,24
119,25
120,41
121,52
122,27
123,9
124,29
125,28
126,26
127,4
128,33
129,4
130,27
131,15
132,56
133,12
134,17
135,8
136,8
137,30
138,22
139,23
140,8
141,6
142,26
143,22
144,28
145,34
146,45
147,30
148,17
149,12
150,8
151,18
152,34
153,9
154,24
155,21
156,5
157,23
158,19
159,20
160,31
161,9
162,26
163,16
164,53
165,7
166,19
167,27
168,33
169,22
170,102
171,18
172,30
173,6
174,17
175,31
176,37
177,12
178,32
179,9
180,13
181,46
182,77
183,40
184,17
185,32
186,29
187,32
188,14
189,6
190,36
191,15
192,8
193,22
194,21
195,36
196,97
197,31
198,7
199,30
200,9
201,8
202,45
203,58
204,75
205,21
206,31
207,8
208,17
209,21
210,14
211,7
212,26
213,14
214,8
215,22
216,9
217,13
218,20
219,143
220,25
221,28
222,32
223,41
224,10
225,52
226,44
227,35
228,20
229,14
230,11
231,24
232,31
233,100
234,32
235,28
236,68
237,32
238,41
239,43
240,27
241,155
242,19
243,35
244,9
245,9
246,6
247,4
248,7
249,148
250,28
251,22
252,32
253,8
254,72
255,24
256,43
257,5
258,25
259,11
260,17
261,33
262,26
263,23
264,26
265,9
266,119
267,29
268,28
269,7
270,80
271,17
272,38
273,6
274,18
275,13
276,26
277,14
278,37
279,59
280,22
281,34
282,10
283,5
284,13
285,13
286,14
287,21
288,21
289,17
290,6
291,38
292,10
293,32
294,35
295,15
296,62
297,72
298,6
299,22
300,7
301,12
302,17
303,5
304,20
305,25
306,20
307,56
308,54
309,9
310,26
311,40
312,18
313,32
314,12
315,7
316,22
317,6
318,9
319,25
320,10
321,29
322,73
323,29
324,22
325,31
326,20
327,7
328,26
329,11
330,32
331,48
332,41
333,21
334,8
335,24
336,31
337,19
338,29
339,5
340,16
341,10
342,51
343,35
344,44
345,25
346,36
347,62
348,32
349,11
350,8
351,15
352,5
353,9
354,20
355,15
356,17
357,18
358,45
359,55
360,6
361,8
362,13
363,37
364,36
365,18
366,34
367,19
368,21
369,12
370,6
371,96
372,11
373,17
374,8
375,37
376,25
377,33
378,8
379,23
380,42
381,33
382,21
383,21
384,36
385,10
386,7
387,27
388,31
389,23
390,67
391,36
392,12
393,31
394,63
395,13
396,33
397,100
398,3
399,8
400,15
401,6
402,4
403,28
404,35
405,9
406,55
407,33
408,8
409,41
410,16
411,17
412,15
413,24
414,23
415,12
416,7
417,47
418,12
419,25
420,7
421,6
422,19
423,61
424,24
425,16
426,18
427,31
428,16
429,26
430,4
431,20
432,18
433,34
434,7
435,53
436,15
437,36
438,24
439,18
440,12
441,36
442,11
443,74
444,16
445,32
446,26
447,6
448,19
449,35
450,4
451,59
452,6
453,7
454,23
455,26
456,5
457,15
458,10
459,21
460,27
461,9
462,7
463,29
464,19
465,57
466,39
467,25
468,16
469,5
470,15
471,15
472,25
473,12
474,32
475,36
476,13
477,10
478,33
479,20
480,29
481,27
482,69
483,6
484,23
485,8
486,32
487,20
488,20
489,46
490,23
491,10
492,33
493,14
494,15
495,5
496,13
497,15
498,44
499,23
500,45
501,30
502,17
503,8
504,4
505,28
506,30
507,9
508,8
509,50
510,39
511,14
512,53
513,10
514,18
515,15
516,55
517,8
518,17
519,39
520,89
521,42
522,38
523,22
524,26
525,4
526,9
527,12
528,20
529,30
530,18
531,34
532,66
533,35
534,71
535,10
536,23
537,56
538,26
539,31
540,94
541,6
542,12
543,20
544,6
545,50
546,24
547,38
548,12
549,36
550,24
551,50
552,30
553,14
554,27
555,24
556,22
557,31
558,12
559,14
560,12
561,29
562,17
563,69
564,24
565,38
566,6
567,72
568,14
569,15
570,31
571,18
572,11
573,7
574,217
575,47
576,38
577,5
578,19
579,32
580,10
581,11
582,7
583,14
584,15
585,14
586,34
587,9
588,31
589,5
590,20
591,33
592,39
593,35
594,16
595,22
596,11
597,56
598,25
599,22
600,28
601,25
602,59
603,8
604,18
605,5
606,14
607,15
608,12
609,31
610,24
611,33
612,7
613,23
614,7
