,0
0,33
1,15
2,68
3,31
4,22
5,9
6,108
7,21
8,6
9,3
10,38
11,29
12,32
13,10
14,25
15,41
16,18
17,64
18,17
19,28
20,9
21,51
22,21
23,19
24,10
25,27
26,30
27,19
28,4
29,33
30,28
31,6
32,44
33,5
34,21
35,27
36,29
37,15
38,16
39,39
40,16
41,24
42,12
43,5
44,33
45,7
46,36
47,5
48,10
49,40
50,38
51,68
52,4
53,65
54,7
55,15
56,28
57,92
58,39
59,7
60,4
61,11
62,29
63,35
64,376
65,53
66,36
67,41
68,29
69,80
70,61
71,7
72,16
73,17
74,11
75,18
76,27
77,34
78,5
79,36
80,15
81,14
82,28
83,33
84,27
85,40
86,44
87,6
88,19
89,25
90,49
91,14
92,23
93,5
94,73
95,13
96,8
97,35
98,18
99,22
100,61
101,72
102,22
103,14
104,18
105,60
106,4
107,32
108,75
109,37
110,80
111,29
112,61
113,6
114,22
115,9
116,35
117,29
118,26
119,24
120,39
121,52
122,30
123,21
124,34
125,30
126,29
127,4
128,38
129,4
130,24
131,18
132,76
133,9
134,19
135,11
136,10
137,33
138,23
139,23
140,5
141,7
142,29
143,32
144,27
145,44
146,82
147,34
148,37
149,11
150,6
151,26
152,57
153,10
154,37
155,19
156,4
157,29
158,33
159,21
160,40
161,9
162,26
163,26
164,60
165,10
166,23
167,26
168,34
169,24
170,118
171,13
172,40
173,5
174,17
175,40
176,69
177,24
178,65
179,13
180,11
181,64
182,48
183,45
184,17
185,42
186,58
187,41
188,14
189,5
190,34
191,13
192,8
193,18
194,24
195,49
196,63
197,31
198,12
199,25
200,7
201,8
202,49
203,65
204,73
205,17
206,37
207,13
208,15
209,21
210,21
211,5
212,28
213,30
214,5
215,19
216,5
217,27
218,36
219,136
220,25
221,27
222,31
223,31
224,13
225,49
226,48
227,28
228,19
229,12
230,29
231,27
232,25
233,95
234,38
235,30
236,76
237,27
238,70
239,77
240,27
241,145
242,21
243,47
244,13
245,6
246,12
247,4
248,5
249,168
250,23
251,23
252,32
253,6
254,85
255,23
256,36
257,5
258,33
259,4
260,18
261,36
