id,predicted
0,29
1,12
2,52
3,25
4,16
5,5
6,99
7,18
8,6
9,3
10,29
11,12
12,28
13,10
14,24
15,36
16,19
17,25
18,16
19,39
20,6
21,49
22,20
23,19
24,7
25,27
26,40
27,18
28,5
29,32
30,27
31,7
32,27
33,5
34,19
35,19
36,26
37,13
38,29
39,30
40,11
41,23
42,11
43,5
44,31
45,3
46,30
47,5
48,7
49,38
50,39
51,52
52,4
53,48
54,2
55,12
56,25
57,89
58,42
59,3
60,5
61,12
62,29
63,33
64,328
65,55
66,35
67,47
68,28
69,81
70,46
71,2
72,17
73,13
74,6
75,14
76,24
77,33
78,6
79,17
80,12
81,8
82,24
83,31
84,27
85,41
86,46
87,6
88,17
89,24
90,23
91,10
92,26
93,5
94,52
95,9
96,6
97,32
98,16
99,25
100,57
101,78
102,20
103,22
104,15
105,47
106,3
107,30
108,69
109,29
110,73
111,31
112,46
113,2
114,12
115,10
116,35
117,29
118,24
119,22
120,58
121,52
122,29
123,7
124,32
125,27
126,28
127,3
128,35
129,4
130,25
131,17
132,71
133,9
134,17
135,7
136,6
137,27
138,20
139,22
140,6
141,3
142,26
143,21
144,26
145,33
146,68
147,31
148,29
149,13
150,6
151,19
152,53
153,7
154,22
155,16
156,4
157,25
158,18
159,20
160,34
161,7
162,23
163,16
164,60
165,7
166,18
167,28
168,40
169,23
170,138
171,15
172,34
173,5
174,15
175,34
176,51
177,15
178,58
179,12
180,7
181,56
182,63
183,42
184,16
185,34
186,41
187,35
188,14
189,5
190,33
191,12
192,4
193,18
194,22
195,41
196,90
197,31
198,3
199,26
200,9
201,4
202,52
203,78
204,81
205,15
206,31
207,4
208,16
209,20
210,9
211,6
212,28
213,12
214,6
215,20
216,6
217,14
218,22
219,186
220,24
221,26
222,31
223,32
224,11
225,57
226,51
227,29
228,21
229,13
230,11
231,24
232,28
233,117
234,38
235,27
236,85
237,26
238,56
239,64
240,26
241,189
242,19
243,43
244,5
245,7
246,7
247,4
248,5
249,214
250,24
251,21
252,28
253,7
254,93
255,22
256,37
257,4
258,28
259,4
260,17
261,34
262,31
263,21
264,27
265,5
266,192
267,28
268,26
269,5
270,85
271,18
272,40
273,2
274,19
275,10
276,33
277,24
278,36
279,83
280,33
281,29
282,8
283,4
284,12
285,14
286,12
287,17
288,34
289,17
290,5
291,42
292,9
293,31
294,36
295,14
296,48
297,90
298,2
299,33
300,5
301,19
302,20
303,4
304,29
305,31
306,19
307,57
308,50
309,7
310,34
311,52
312,18
313,56
314,7
315,3
316,29
317,2
318,11
319,25
320,7
321,29
322,98
323,28
324,21
325,34
326,17
327,6
328,24
329,12
330,31
331,66
332,40
333,21
334,5
335,22
336,28
337,14
338,31
339,4
340,16
341,9
342,70
343,54
344,32
345,26
346,39
347,50
348,42
349,11
350,5
351,13
352,5
353,5
354,24
355,14
356,17
357,23
358,64
359,53
360,5
361,6
362,13
363,54
364,38
365,17
366,32
367,21
368,19
369,8
370,5
371,147
372,11
373,16
374,5
375,59
376,39
377,35
378,4
379,21
380,73
381,37
382,21
383,19
384,36
385,12
386,6
387,27
388,24
389,20
390,90
391,38
392,13
393,30
394,61
395,12
396,33
397,99
398,2
399,7
400,16
401,2
402,4
403,25
404,44
405,5
406,51
407,34
408,6
409,50
410,19
411,24
412,9
413,28
414,28
415,14
416,4
417,55
418,13
419,27
420,7
421,5
422,16
423,61
424,19
425,20
426,21
427,26
428,19
429,27
430,4
431,21
432,14
433,29
434,4
435,59
436,11
437,41
438,31
439,21
440,15
441,33
442,14
443,89
444,13
445,28
446,35
447,3
448,22
449,33
450,4
451,66
452,5
453,6
454,22
455,24
456,5
457,14
458,11
459,21
460,29
461,7
462,5
463,30
464,18
465,54
466,65
467,36
468,17
469,5
470,15
471,18
472,30
473,10
474,34
475,39
476,11
477,9
478,34
479,13
480,26
481,25
482,80
483,6
484,30
485,5
486,37
487,17
488,26
489,48
490,24
491,13
492,32
493,17
494,15
495,4
496,12
497,11
498,45
499,20
500,54
501,33
502,15
503,5
504,3
505,28
506,32
507,7
508,4
509,67
510,54
511,9
512,54
513,9
514,18
515,13
516,59
517,6
518,20
519,52
520,117
521,48
522,32
523,24
524,30
525,4
526,5
527,12
528,20
529,30
530,17
531,34
532,93
533,23
534,64
535,8
536,24
537,60
538,26
539,46
540,72
541,2
542,12
543,21
544,5
545,53
546,21
547,42
548,12
549,37
550,30
551,62
552,33
553,15
554,40
555,38
556,28
557,30
558,14
559,12
560,11
561,28
562,16
563,72
564,25
565,36
566,5
567,46
568,13
569,16
570,30
571,19
572,11
573,6
574,230
575,44
576,38
577,5
578,23
579,40
580,7
581,9
582,3
583,17
584,15
585,18
586,34
587,15
588,35
589,4
590,19
591,36
592,59
593,30
594,25
595,30
596,8
597,79
598,28
599,18
600,31
601,23
602,54
603,7
604,17
605,3
606,15
607,15
608,13
609,33
610,32
611,49
612,6
613,21
614,2
615,32
616,17
617,11
618,26
619,39
620,43
621,7
622,18
623,8
624,29
625,26
626,21
627,19
628,3
629,16
630,21
631,13
632,6
633,39
634,25
635,13
636,3
637,8
638,33
639,13
640,9
641,23
642,12
643,26
644,7
645,25
646,24
647,72
648,31
649,22
650,26
651,63
652,2
653,17
654,48
655,44
656,28
657,19
658,25
659,24
660,15
661,32
662,9
663,16
664,10
665,39
666,18
667,26
668,35
669,56
670,6
671,18
672,49
673,18
674,225
675,13
676,16
677,5
678,3
679,6
680,36
681,20
682,14
683,52
684,8
685,5
686,31
687,4
688,7
689,111
690,18
691,29
692,25
693,6
694,18
695,34
696,5
697,17
698,13
699,18
700,22
701,6
702,94
703,32
704,25
705,8
706,16
707,41
708,12
709,12
710,27
711,20
712,26
713,21
714,6
715,28
716,4
717,3
718,96
719,32
720,12
721,41
722,10
723,78
724,31
725,43
726,5
727,23
728,2
729,20
730,14
731,67
732,25
733,8
734,13
735,27
736,25
737,13
738,46
739,25
740,7
741,17
742,6
743,44
744,30
745,16
746,32
747,6
748,40
749,22
750,25
751,8
752,16
753,13
754,19
755,23
756,14
757,32
758,34
759,16
760,75
761,15
762,10
763,40
764,33
765,25
766,38
767,13
768,23
769,11
770,6
771,5
772,7
773,86
774,6
775,8
776,10
777,5
778,31
779,28
780,22
781,26
782,12
783,46
784,49
785,13
786,26
787,21
788,10
789,7
790,134
791,47
792,9
793,33
794,15
795,88
796,11
797,29
798,16
799,43
800,17
801,28
802,6
803,11
804,38
805,56
806,34
807,10
808,13
809,5
810,57
811,58
812,6
813,47
814,7
815,3
816,2
817,8
818,28
819,6
820,30
821,14
822,3
823,94
824,22
825,33
826,17
827,21
828,6
829,5
830,36
831,31
832,22
833,26
834,33
835,9
836,16
837,24
838,36
839,37
840,16
841,28
842,14
843,11
844,29
845,28
846,28
847,5
848,15
849,15
850,11
851,41
852,21
853,54
854,5
855,27
856,31
