,0
0,22
1,10
2,63
3,29
4,20
5,5
6,141
7,14
8,3
9,1
10,35
11,22
12,30
13,6
14,14
15,32
16,13
17,67
18,18
19,28
20,5
21,38
22,16
23,12
24,5
25,20
26,28
27,13
28,2
29,28
30,20
31,4
32,33
33,3
34,13
35,21
36,23
37,9
38,17
39,45
40,9
41,15
42,10
43,3
44,24
45,5
46,23
47,3
48,5
49,29
50,30
51,61
52,2
53,61
54,5
55,10
56,18
57,69
58,54
59,3
60,3
61,14
62,19
63,26
64,424
65,40
66,31
67,42
68,21
69,73
70,55
71,3
72,12
73,14
74,6
75,14
76,19
77,27
78,3
79,33
80,9
81,9
82,22
83,24
84,18
85,30
86,29
87,4
88,13
89,22
90,35
91,9
92,37
93,3
94,59
95,8
96,5
97,26
98,12
99,16
100,47
101,78
102,24
103,15
104,12
105,62
106,2
107,27
108,63
109,29
110,70
111,24
112,57
113,6
114,18
115,5
116,23
117,18
118,21
119,15
120,25
121,40
122,20
123,17
124,25
125,22
126,18
127,2
128,27
129,2
130,15
131,11
132,63
133,5
134,15
135,7
136,6
137,29
138,15
139,15
140,3
141,5
142,20
143,22
144,17
145,38
146,78
147,24
148,42
149,5
150,3
151,18
152,63
153,6
154,28
155,14
156,2
157,25
158,23
159,13
160,33
161,5
162,16
163,17
164,48
165,10
166,17
167,19
168,40
169,16
170,182
171,9
172,34
173,3
174,12
175,36
176,68
177,19
178,39
179,13
180,7
181,92
182,41
183,38
184,13
185,36
186,55
187,32
188,8
189,3
190,25
191,8
192,4
193,11
194,14
195,62
196,81
197,21
198,6
199,17
200,5
201,4
202,63
203,72
204,110
205,12
206,30
207,7
208,10
209,13
210,15
211,3
212,35
213,22
214,3
215,15
216,3
217,18
218,23
219,130
220,18
221,16
222,21
223,24
224,13
225,40
226,36
227,24
228,19
229,7
230,25
231,20
232,15
233,145
234,28
235,24
236,113
237,21
238,69
239,76
240,18
241,166
242,14
243,43
244,11
245,4
246,9
247,2
248,2
249,179
250,15
251,16
252,27
253,3
254,78
255,16
256,29
257,2
258,24
259,3
260,12
261,26
262,18
263,16
264,15
265,4
266,190
267,30
268,20
269,3
270,96
271,16
272,46
273,5
274,14
275,9
276,35
277,31
278,44
279,101
280,42
281,19
282,7
283,2
284,10
285,29
286,18
287,14
288,32
289,13
290,2
291,37
292,9
293,34
294,29
295,23
296,50
297,74
298,5
299,32
300,3
301,17
302,14
303,2
304,23
305,32
306,12
307,34
308,38
309,3
310,38
311,71
312,15
313,61
314,7
315,6
316,46
317,5
318,12
319,20
320,5
321,28
322,127
323,24
324,16
325,39
326,13
327,3
328,18
